vendor_name,import_year,total_spend,num_transactions,num_categories,mean_approval_delay,mean_fulfillment_delay,anomaly_score,is_anomaly,pca_1,pca_2
RILEY FIRE PROTECTION LLC,2020,2080.0,1,1,0.0,13.0,0.19965968088315128,False,-0.2975628154390602,-0.8004999223500062
RIVANNA EQUIPMENT COMPANY LLC,2017,44755.0,5,2,2.6,22.25,0.18352124994540397,False,-0.2660307658047112,-0.1672692575568366
RIVANNA EQUIPMENT COMPANY LLC,2018,8880.0,2,2,0.5,43.5,0.1848890248614356,False,-0.2919360344189798,-0.44468643743922737
RIVER CITY INDUSTRIAL INC,2018,1089.37,2,2,0.0,2.0,0.19371113483164326,False,-0.22163936068163992,-0.8832994190627396
RIVERSIDE HARDWARE INC,2019,846.0,1,1,1.0,71.0,0.1850331009883936,False,-0.4032172171858118,-0.12727368654079804
ROADS TO RECOVERY INC,2017,19550.0,3,3,1.75,1.0,0.18717842095080334,False,-0.1979705504679006,-0.5182284041260601
ROADS TO RECOVERY INC,2018,5330.0,4,3,2.2,104.5,0.16785129314554725,False,-0.3440705443423121,0.40484784218205766
ROANOKE STAMP AND SEAL CO,2016,426.75,8,4,0.35714285714285715,12.0,0.1884359551225157,False,-0.07010908241930339,-0.7116169467632597
ROANOKE STAMP AND SEAL CO,2017,375.38,13,6,3.9166666666666665,29.555555555555557,0.16814416191893233,False,-0.014157342083937444,0.18503200949450804
ROANOKE STAMP AND SEAL CO,2018,260.86,9,5,1.0454545454545454,46.0,0.18520233040500939,False,-0.07410524067995873,-0.2899338390258074
ROANOKE STAMP AND SEAL CO,2019,412.20000000000005,8,3,1.6666666666666667,50.5,0.19075223932266938,False,-0.20139149964628367,-0.13457428179840422
ROANOKE STAMP AND SEAL CO,2020,99.34,2,3,0.0,8.0,0.19288061745231205,False,-0.1835103466164253,-0.8311040445048516
ROANOKE STAMP AND SEAL CO,2021,1004.88,17,4,1.28125,16.5,0.18007182366050517,False,0.023291094252254077,-0.4700133629594846
ROBERT E MASON & ASSOCIATES INC,2019,1595.0,1,1,3.0,44.0,0.19288847478789373,False,-0.40898050173586853,0.07186085494632032
ROBERT P SCHECTMAN,2018,1500.0,2,1,14.5,10.0,0.06138485561313711,False,-0.6031168684655166,2.1908432649771363
ROBERT S LOVELACE COMPANY,2018,576.0,1,1,0.0,9.0,0.19963272911458407,False,-0.29190461160705905,-0.8329064045278632
ROBERTS OXYGEN COMPANY INC,2018,445.58000000000004,2,4,5.2,8.0,0.16843990092934702,False,-0.25259801691488487,0.25409467688639753
ROBINETTE SCRAP METAL PROCESSING CORP,2021,27.85,1,1,0.0,58.0,0.1911554600379261,False,-0.36230454343112833,-0.4396604372150799
ROCKBRIDGE AREA COMMUNITY SERVICES,2018,4000.0,1,1,2.0,117.0,0.1761129007993647,False,-0.49138711686273,0.4504844914997971
ROCKBRIDGE AREA COMMUNITY SERVICES,2019,15000.0,1,1,22.0,321.0,-0.08742125628769726,True,-1.229526669457247,6.247616905494141
RODZINA INDUSTRIES INC,2016,73.9,4,2,4.2,19.0,0.18717791652923066,False,-0.3129687503504683,0.1289599330133005
RODZINA INDUSTRIES INC,2017,304.05,9,3,1.3333333333333333,18.77777777777778,0.19507324847783247,False,-0.13503063405643048,-0.4570637163182055
RODZINA INDUSTRIES INC,2018,179.95,4,2,2.888888888888889,15.4,0.1957908197176414,False,-0.27856762269954793,-0.17245483298982456
